277,Mohamed Abdul Hadj,M,NA,NA
278,Jefri Kiko Bolkiah Abdul Hakeem,M,172,90
279,Mohamed Abdul Hamid,M,175,55
280,S. Abdul Hamid,M,NA,NA
281,Hadi Abdul Jabbar,M,180,117.5
282,Mohamed Abed Abdul Jawad,M,169,65
283,Anouar Abdul Kader,M,NA,NA
284,Talal Hassoun Abdul Kader,M,NA,82
285,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,169,60
286,Taha Abdul Karim,M,156,59
287,Masoud Abdul Khamis Al-Rahman,M,176,68
288,Abdul Haji Abdul Latheef,M,168,54
289,Fatima Abdul Majeed Hameed Al-Kirashi,F,NA,NA
290,Majed Ahmed Abdul Mohamed,M,172,70
291,Firouz Abdul Mohammadian,M,178,74
292,Hussam Abdul Rahman,M,175,80
293,Mohamed Ghulom Abdul Rahman,M,175,85
294,Suleman Abdul Rahman,M,174,55
295,Zambrose Abdul Rahman,M,173,64
296,Lala Abdul Rashid,M,169,91
297,Muhammad Abdul Rashid,M,181,72
298,Dana Abdul Razak (Hussain-),F,163,56
299,A. Abdul Razzak,M,178,70
300,Mohamed Abdul Razzak,M,177,68
301,Muhammad Abdul Razzaq,M,NA,NA
302,Hazim Abdul Ridha,M,160,52
303,Rauf Abdul Seoud,M,NA,NA
304,Samir Ahmed Abdul Shakour,M,180,72
305,Nabil Abdul Tahlak,M,NA,NA
306,Fahmi Ahmed Abdul Wahab Al-Tahri,M,NA,NA
307,Mohamed Abdul Wahab Al-Salah,M,NA,NA
308,Qazi Abdul Waheed,M,NA,NA
309,Patmawati Abdul Wahid,F,158,58
310,Haidar Abdul-Amir Hassan,M,185,80
311,Haidar Abdul-Razzaq Hassan,M,175,75
312,"Lawal Kolawole ""Kola"" Abdulai",M,172,66
313,"Rukayatu ""Ruky"" Abdulai",F,180,59
314,Mona Ahmad Abdulaziz Hassanein,F,166,61
315,Zagalav Abdulbekovich Abdulbekov,M,160,62
316,Roosevelt M. Abdulgafur,M,181,73
