117480,216
117578,193
121255,13
122180,97
126791,32
135190,97
3657,214
4105,100
7722,53
12762,104
15599,97
16200,227
17297,100
21270,13
45664,13
54482,190
56481,150
57482,190
59938,227
62665,63
66248,227
69987,32
74067,81
79088,32
83745,152
85988,100
89625,32
91892,119
96850,104
98863,150
101011,190
101935,53
102042,41
108249,74
111436,119
112619,152
123016,104
125636,27
10185,12
33019,216
41398,100
45617,120
46516,216
50879,69
58417,216
78344,63
95023,100
116254,74
121231,36
123996,190
2278,74
3286,133
15025,181
17483,109
21669,69
27801,105
46906,97
53775,114
61985,69
69483,104
73403,193
83874,175
83897,79
85419,100
105598,50
110897,216
111425,68
121354,50
4784,150
25657,216
45972,13
54100,216
55703,162
66560,90
93847,68
100108,68
110284,74
122776,13
135304,169
2193,104
4130,100
4395,100
15543,97
16360,12
24202,216
24854,105
26285,133
38044,69
39353,109
41819,182
58736,152
58846,97
72172,97
73814,67
83908,120
85105,100
87516,120
103090,90
120807,53
121553,216
122281,152
123974,181
124896,81
126278,69
1153,190
2322,69
14337,158
20671,204
25995,13
29228,100
41057,81
47865,100
50725,204
57540,69
65107,158
83838,227
85064,104
86124,70
97776,81
118479,193
128056,204
128626,190
5351,207
16226,32
18572,63
21128,182
25760,74
27044,69
29760,49
30190,119
30435,70
33189,207
35800,8
37867,13
41933,53
43540,227
44177,97
44257,193
45235,125
52371,81
73128,53
75518,41
76536,41
79194,169
83098,27
83106,120
86096,190
91655,119
92076,104
93313,74
99795,53
103059,90
107856,100
110778,207
116184,119
121100,190
122821,119
124328,32
130429,41
134185,169
135193,97
809,152
862,125
3154,63
4002,77
4598,119
4672,169
7791,192
10822,219
10895,133
11476,9
12212,163
12331,217
17389,97
22887,95
26011,100
27939,212
28080,12
28764,37
30548,97
32204,207
34136,40
35360,79
35933,50
38629,79
42183,190
44760,109
48323,150
49370,92
50026,94
50928,77
58864,29
59679,4
66181,109
66983,199
71756,81
71809,53
72016,114
74645,150
77776,100
78767,229
80220,157
81049,13
81433,120
81556,68
83858,23
83872,185
85114,81
85289,69
85695,193
90374,94
91141,114
91245,154
94879,90
98075,109
98557,14
101659,36
101798,13
102739,63
108023,100
108690,121
109695,12
111497,68
112754,50
112805,8
113477,171
116806,79
116834,32
117423,69
119881,136
121179,69
122033,216
123225,36
126334,182
127116,171
128310,64
131759,107
133864,41
134536,181
5019,190
18191,100
27159,8
55256,216
57157,36
119355,104
2970,100
5541,94
12800,90
14869,181
23980,104
26857,64
27851,171
29050,40
33187,2
34869,8
39677,69
42719,133
45263,207
49390,92
53441,107
65604,68
70396,109
70724,109
72183,97
75467,176
75519,41
82969,182
83861,23
85302,123
88540,98
89621,181
104437,69
117107,13
120979,95
125981,105
126526,121
1628,8
7918,74
11870,9
14470,152
15993,136
16343,36
21667,128
21891,53
23761,69
24018,50
24910,50
27901,107
32530,207
41645,119
52252,169
54036,77
54745,216
55038,74
55500,92
56178,181
57747,14
75595,41
83894,55
91154,90
91196,154
95790,217
98552,36
100236,193
101202,170
102846,94
109727,212
111449,125
117195,81
122632,216
5773,3
16380,36
16408,125
21847,74
34798,100
37310,216
37598,69
45999,193
49193,125
65427,130
71345,181
71629,100
80377,27
85369,193
87601,13
98336,69
98738,190
106936,216
107692,29
